Book,Author,Chapter,Paragraph,TEA,CRY
Jane Eyre,Charlotte Bronte,I,"There was no possibility of taking a walk that day. We had been wandering,
indeed, in the leafless shrubbery an hour in the morning; but since dinner
(Mrs. Reed, when there was no company, dined early) the cold winter wind had
brought with it clouds so sombre, and a rain so penetrating, that further
outdoor exercise was now out of the question.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"I was glad of it: I never liked long walks, especially on chilly afternoons:
dreadful to me was the coming home in the raw twilight, with nipped fingers and
toes, and a heart saddened by the chidings of Bessie, the nurse, and humbled by
the consciousness of my physical inferiority to Eliza, John, and Georgiana
Reed.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"The said Eliza, John, and Georgiana were now clustered round their mama in the
drawing-room: she lay reclined on a sofa by the fireside, and with her darlings
about her (for the time neither quarrelling nor crying) looked perfectly happy.
Me, she had dispensed from joining the group; saying, &ldquo;She regretted to
be under the necessity of keeping me at a distance; but that until she heard
from Bessie, and could discover by her own observation, that I was endeavouring
in good earnest to acquire a more sociable and childlike disposition, a more
attractive and sprightly manner&mdash;something lighter, franker, more natural,
as it were&mdash;she really must exclude me from privileges intended only for
contented, happy, little children.&rdquo;",0.0,1.0
Jane Eyre,Charlotte Bronte,I,&ldquo;What does Bessie say I have done?&rdquo; I asked.,0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Jane, I don&rsquo;t like cavillers or questioners; besides, there is
something truly forbidding in a child taking up her elders in that manner. Be
seated somewhere; and until you can speak pleasantly, remain silent.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"A breakfast-room adjoined the drawing-room, I slipped in there. It contained a
bookcase: I soon possessed myself of a volume, taking care that it should be
one stored with pictures. I mounted into the window-seat: gathering up my feet,
I sat cross-legged, like a Turk; and, having drawn the red moreen curtain
nearly close, I was shrined in double retirement.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"Folds of scarlet drapery shut in my view to the right hand; to the left were
the clear panes of glass, protecting, but not separating me from the drear
November day. At intervals, while turning over the leaves of my book, I studied
the aspect of that winter afternoon. Afar, it offered a pale blank of mist and
cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain
sweeping away wildly before a long and lamentable blast.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"I returned to my book&mdash;Bewick&rsquo;s History of British Birds: the
letterpress thereof I cared little for, generally speaking; and yet there were
certain introductory pages that, child as I was, I could not pass quite as a
blank. They were those which treat of the haunts of sea-fowl; of &ldquo;the
solitary rocks and promontories&rdquo; by them only inhabited; of the coast of
Norway, studded with isles from its southern extremity, the Lindeness, or Naze,
to the North Cape&mdash;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Where the Northern Ocean, in vast whirls,<br />
Boils round the naked, melancholy isles<br />
Of farthest Thule; and the Atlantic surge<br />
Pours in among the stormy Hebrides.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"Nor could I pass unnoticed the suggestion of the bleak shores of Lapland,
Siberia, Spitzbergen, Nova Zembla, Iceland, Greenland, with &ldquo;the vast
sweep of the Arctic Zone, and those forlorn regions of dreary space,&mdash;that
reservoir of frost and snow, where firm fields of ice, the accumulation of
centuries of winters, glazed in Alpine heights above heights, surround the
pole, and concentre the multiplied rigours of extreme cold.&rdquo; Of these
death-white realms I formed an idea of my own: shadowy, like all the
half-comprehended notions that float dim through children&rsquo;s brains, but
strangely impressive. The words in these introductory pages connected
themselves with the succeeding vignettes, and gave significance to the rock
standing up alone in a sea of billow and spray; to the broken boat stranded on
a desolate coast; to the cold and ghastly moon glancing through bars of cloud
at a wreck just sinking.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"I cannot tell what sentiment haunted the quite solitary churchyard, with its
inscribed headstone; its gate, its two trees, its low horizon, girdled by a
broken wall, and its newly-risen crescent, attesting the hour of eventide.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"The two ships becalmed on a torpid sea, I believed to be marine phantoms.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"The fiend pinning down the thief&rsquo;s pack behind him, I passed over
quickly: it was an object of terror.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"So was the black horned thing seated aloof on a rock, surveying a distant crowd
surrounding a gallows.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"Each picture told a story; mysterious often to my undeveloped understanding and
imperfect feelings, yet ever profoundly interesting: as interesting as the
tales Bessie sometimes narrated on winter evenings, when she chanced to be in
good humour; and when, having brought her ironing-table to the nursery hearth,
she allowed us to sit about it, and while she got up Mrs. Reed&rsquo;s lace
frills, and crimped her nightcap borders, fed our eager attention with passages
of love and adventure taken from old fairy tales and other ballads; or (as at a
later period I discovered) from the pages of Pamela, and Henry, Earl of
Moreland.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"With Bewick on my knee, I was then happy: happy at least in my way. I feared
nothing but interruption, and that came too soon. The breakfast-room door
opened.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Boh! Madam Mope!&rdquo; cried the voice of John Reed; then he paused: he
found the room apparently empty.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Where the dickens is she!&rdquo; he continued. &ldquo;Lizzy!
Georgy! (calling to his sisters) Joan is not here: tell mama she is run out
into the rain&mdash;bad animal!&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;It is well I drew the curtain,&rdquo; thought I; and I wished fervently
he might not discover my hiding-place: nor would John Reed have found it out
himself; he was not quick either of vision or conception; but Eliza just put
her head in at the door, and said at once&mdash;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;She is in the window-seat, to be sure, Jack.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"And I came out immediately, for I trembled at the idea of being dragged forth
by the said Jack.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;What do you want?&rdquo; I asked, with awkward diffidence.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Say, &lsquo;What do you want, Master Reed?&rsquo;&rdquo; was the answer.
&ldquo;I want you to come here;&rdquo; and seating himself in an arm-chair, he
intimated by a gesture that I was to approach and stand before him.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"John Reed was a schoolboy of fourteen years old; four years older than I, for I
was but ten: large and stout for his age, with a dingy and unwholesome skin;
thick lineaments in a spacious visage, heavy limbs and large extremities.
He gorged himself habitually at table, which made him bilious, and gave him a
dim and bleared eye and flabby cheeks. He ought now to have been at school; but
his mama had taken him home for a month or two, &ldquo;on account of his
delicate health.&rdquo; Mr. Miles, the master, affirmed that he would do very
well if he had fewer cakes and sweetmeats sent him from home; but the
mother&rsquo;s heart turned from an opinion so harsh, and inclined rather to
the more refined idea that John&rsquo;s sallowness was owing to
over-application and, perhaps, to pining after home.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"John had not much affection for his mother and sisters, and an antipathy to me.
He bullied and punished me; not two or three times in the week, nor once or
twice in the day, but continually: every nerve I had feared him, and every
morsel of flesh in my bones shrank when he came near. There were moments when I
was bewildered by the terror he inspired, because I had no appeal whatever
against either his menaces or his inflictions; the servants did not like to
offend their young master by taking my part against him, and Mrs. Reed was
blind and deaf on the subject: she never saw him strike or heard him abuse me,
though he did both now and then in her very presence, more frequently, however,
behind her back.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"Habitually obedient to John, I came up to his chair: he spent some three
minutes in thrusting out his tongue at me as far as he could without damaging
the roots: I knew he would soon strike, and while dreading the blow, I mused on
the disgusting and ugly appearance of him who would presently deal it. I wonder
if he read that notion in my face; for, all at once, without speaking, he
struck suddenly and strongly. I tottered, and on regaining my equilibrium
retired back a step or two from his chair.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;That is for your impudence in answering mama awhile since,&rdquo; said
he, &ldquo;and for your sneaking way of getting behind curtains, and for the
look you had in your eyes two minutes since, you rat!&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"Accustomed to John Reed&rsquo;s abuse, I never had an idea of replying to it;
my care was how to endure the blow which would certainly follow the insult.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,&ldquo;What were you doing behind the curtain?&rdquo; he asked.,0.0,0.0
Jane Eyre,Charlotte Bronte,I,&ldquo;I was reading.&rdquo;,0.0,0.0
Jane Eyre,Charlotte Bronte,I,&ldquo;Show the book.&rdquo;,0.0,0.0
Jane Eyre,Charlotte Bronte,I,I returned to the window and fetched it thence.,0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;You have no business to take our books; you are a dependent, mama says;
you have no money; your father left you none; you ought to beg, and not to live
here with gentlemen&rsquo;s children like us, and eat the same meals we do, and
wear clothes at our mama&rsquo;s expense. Now, I&rsquo;ll teach you to rummage
my bookshelves: for they <i>are</i> mine; all the house belongs to me, or will
do in a few years. Go and stand by the door, out of the way of the mirror and
the windows.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"I did so, not at first aware what was his intention; but when I saw him lift
and poise the book and stand in act to hurl it, I instinctively started aside
with a cry of alarm: not soon enough, however; the volume was flung, it hit me,
and I fell, striking my head against the door and cutting it. The cut bled, the
pain was sharp: my terror had passed its climax; other feelings succeeded.",0.0,1.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Wicked and cruel boy!&rdquo; I said. &ldquo;You are like a
murderer&mdash;you are like a slave-driver&mdash;you are like the Roman
emperors!&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"I had read Goldsmith&rsquo;s History of Rome, and had formed my opinion of
Nero, Caligula, &amp;c. Also I had drawn parallels in silence, which I never
thought thus to have declared aloud.",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;What! what!&rdquo; he cried. &ldquo;Did she say that to me? Did
you hear her, Eliza and Georgiana? Won&rsquo;t I tell mama? but
first&mdash;&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,"He ran headlong at me: I felt him grasp my hair and my shoulder: he had closed
with a desperate thing. I really saw in him a tyrant, a murderer. I felt a drop
or two of blood from my head trickle down my neck, and was sensible of somewhat
pungent suffering: these sensations for the time predominated over fear, and I
received him in frantic sort. I don&rsquo;t very well know what I did with my
hands, but he called me &ldquo;Rat! Rat!&rdquo; and bellowed out aloud. Aid was
near him: Eliza and Georgiana had run for Mrs. Reed, who was gone upstairs: she
now came upon the scene, followed by Bessie and her maid Abbot. We were parted:
I heard the words&mdash;",0.0,0.0
Jane Eyre,Charlotte Bronte,I,&ldquo;Dear! dear! What a fury to fly at Master John!&rdquo;,0.0,0.0
Jane Eyre,Charlotte Bronte,I,&ldquo;Did ever anybody see such a picture of passion!&rdquo;,0.0,0.0
Jane Eyre,Charlotte Bronte,I,Then Mrs. Reed subjoined&mdash;,0.0,0.0
Jane Eyre,Charlotte Bronte,I,"&ldquo;Take her away to the red-room, and lock her in there.&rdquo; Four hands
were immediately laid upon me, and I was borne upstairs.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"I resisted all the way: a new thing for me, and a circumstance which greatly
strengthened the bad opinion Bessie and Miss Abbot were disposed to entertain
of me. The fact is, I was a trifle beside myself; or rather <i>out</i> of
myself, as the French would say: I was conscious that a moment&rsquo;s mutiny
had already rendered me liable to strange penalties, and, like any other rebel
slave, I felt resolved, in my desperation, to go all lengths.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Hold her arms, Miss Abbot: she&rsquo;s like a mad cat.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;For shame! for shame!&rdquo; cried the lady&rsquo;s-maid.
&ldquo;What shocking conduct, Miss Eyre, to strike a young gentleman, your
benefactress&rsquo;s son! Your young master.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,&ldquo;Master! How is he my master? Am I a servant?&rdquo;,0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;No; you are less than a servant, for you do nothing for your keep.
There, sit down, and think over your wickedness.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"They had got me by this time into the apartment indicated by Mrs. Reed, and had
thrust me upon a stool: my impulse was to rise from it like a spring; their two
pair of hands arrested me instantly.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;If you don&rsquo;t sit still, you must be tied down,&rdquo; said Bessie.
&ldquo;Miss Abbot, lend me your garters; she would break mine directly.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"Miss Abbot turned to divest a stout leg of the necessary ligature. This
preparation for bonds, and the additional ignominy it inferred, took a little
of the excitement out of me.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Don&rsquo;t take them off,&rdquo; I cried; &ldquo;I will not
stir.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"In guarantee whereof, I attached myself to my seat by my hands.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Mind you don&rsquo;t,&rdquo; said Bessie; and when she had ascertained
that I was really subsiding, she loosened her hold of me; then she and Miss
Abbot stood with folded arms, looking darkly and doubtfully on my face, as
incredulous of my sanity.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;She never did so before,&rdquo; at last said Bessie, turning to the
Abigail.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;But it was always in her,&rdquo; was the reply. &ldquo;I&rsquo;ve told
Missis often my opinion about the child, and Missis agreed with me.
She&rsquo;s an underhand little thing: I never saw a girl of her age with so
much cover.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"Bessie answered not; but ere long, addressing me, she said&mdash;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;You ought to be aware, Miss, that you are under obligations to Mrs.
Reed: she keeps you: if she were to turn you off, you would have to go to the
poorhouse.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"I had nothing to say to these words: they were not new to me: my very first
recollections of existence included hints of the same kind. This reproach of my
dependence had become a vague sing-song in my ear: very painful and crushing,
but only half intelligible. Miss Abbot joined in&mdash;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;And you ought not to think yourself on an equality with the Misses Reed
and Master Reed, because Missis kindly allows you to be brought up with them.
They will have a great deal of money, and you will have none: it is your place
to be humble, and to try to make yourself agreeable to them.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;What we tell you is for your good,&rdquo; added Bessie, in no harsh
voice, &ldquo;you should try to be useful and pleasant, then, perhaps, you
would have a home here; but if you become passionate and rude, Missis will send
you away, I am sure.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Besides,&rdquo; said Miss Abbot, &ldquo;God will punish her: He might
strike her dead in the midst of her tantrums, and then where would she go?
Come, Bessie, we will leave her: I wouldn&rsquo;t have her heart for anything.
Say your prayers, Miss Eyre, when you are by yourself; for if you don&rsquo;t
repent, something bad might be permitted to come down the chimney and fetch you
away.&rdquo;",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"They went, shutting the door, and locking it behind them.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"The red-room was a square chamber, very seldom slept in, I might say never,
indeed, unless when a chance influx of visitors at Gateshead Hall rendered it
necessary to turn to account all the accommodation it contained: yet it was one
of the largest and stateliest chambers in the mansion. A bed supported on
massive pillars of mahogany, hung with curtains of deep red damask, stood out
like a tabernacle in the centre; the two large windows, with their blinds
always drawn down, were half shrouded in festoons and falls of similar drapery;
the carpet was red; the table at the foot of the bed was covered with a crimson
cloth; the walls were a soft fawn colour with a blush of pink in it; the
wardrobe, the toilet-table, the chairs were of darkly polished old mahogany.
Out of these deep surrounding shades rose high, and glared white, the piled-up
mattresses and pillows of the bed, spread with a snowy Marseilles counterpane.
Scarcely less prominent was an ample cushioned easy-chair near the head of the
bed, also white, with a footstool before it; and looking, as I thought, like a
pale throne.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"This room was chill, because it seldom had a fire; it was silent, because
remote from the nursery and kitchen; solemn, because it was known to be so
seldom entered. The house-maid alone came here on Saturdays, to wipe from the
mirrors and the furniture a week&rsquo;s quiet dust: and Mrs. Reed herself, at
far intervals, visited it to review the contents of a certain secret drawer in
the wardrobe, where were stored divers parchments, her jewel-casket, and a
miniature of her deceased husband; and in those last words lies the secret of
the red-room&mdash;the spell which kept it so lonely in spite of its grandeur.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"Mr. Reed had been dead nine years: it was in this chamber he breathed his last;
here he lay in state; hence his coffin was borne by the undertaker&rsquo;s men;
and, since that day, a sense of dreary consecration had guarded it from
frequent intrusion.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"My seat, to which Bessie and the bitter Miss Abbot had left me riveted, was a
low ottoman near the marble chimney-piece; the bed rose before me; to my right
hand there was the high, dark wardrobe, with subdued, broken reflections
varying the gloss of its panels; to my left were the muffled windows; a great
looking-glass between them repeated the vacant majesty of the bed and room. I
was not quite sure whether they had locked the door; and when I dared move, I
got up and went to see. Alas! yes: no jail was ever more secure. Returning, I
had to cross before the looking-glass; my fascinated glance involuntarily
explored the depth it revealed. All looked colder and darker in that visionary
hollow than in reality: and the strange little figure there gazing at me, with
a white face and arms specking the gloom, and glittering eyes of fear moving
where all else was still, had the effect of a real spirit: I thought it like
one of the tiny phantoms, half fairy, half imp, Bessie&rsquo;s evening stories
represented as coming out of lone, ferny dells in moors, and appearing before
the eyes of belated travellers. I returned to my stool.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"Superstition was with me at that moment; but it was not yet her hour for
complete victory: my blood was still warm; the mood of the revolted slave was
still bracing me with its bitter vigour; I had to stem a rapid rush of
retrospective thought before I quailed to the dismal present.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"All John Reed&rsquo;s violent tyrannies, all his sisters&rsquo; proud
indifference, all his mother&rsquo;s aversion, all the servants&rsquo;
partiality, turned up in my disturbed mind like a dark deposit in a turbid
well. Why was I always suffering, always browbeaten, always accused, for ever
condemned? Why could I never please? Why was it useless to try to win any
one&rsquo;s favour? Eliza, who was headstrong and selfish, was respected.
Georgiana, who had a spoiled temper, a very acrid spite, a captious and
insolent carriage, was universally indulged. Her beauty, her pink cheeks and
golden curls, seemed to give delight to all who looked at her, and to purchase
indemnity for every fault. John no one thwarted, much less punished; though he
twisted the necks of the pigeons, killed the little pea-chicks, set the dogs at
the sheep, stripped the hothouse vines of their fruit, and broke the buds off
the choicest plants in the conservatory: he called his mother &ldquo;old
girl,&rdquo; too; sometimes reviled her for her dark skin, similar to his own;
bluntly disregarded her wishes; not unfrequently tore and spoiled her silk
attire; and he was still &ldquo;her own darling.&rdquo; I dared commit no
fault: I strove to fulfil every duty; and I was termed naughty and tiresome,
sullen and sneaking, from morning to noon, and from noon to night.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"My head still ached and bled with the blow and fall I had received: no one had
reproved John for wantonly striking me; and because I had turned against him to
avert farther irrational violence, I was loaded with general opprobrium.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Unjust!&mdash;unjust!&rdquo; said my reason, forced by the agonising
stimulus into precocious though transitory power: and Resolve, equally wrought
up, instigated some strange expedient to achieve escape from insupportable
oppression&mdash;as running away, or, if that could not be effected, never
eating or drinking more, and letting myself die.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"What a consternation of soul was mine that dreary afternoon! How all my brain
was in tumult, and all my heart in insurrection! Yet in what darkness, what
dense ignorance, was the mental battle fought! I could not answer the ceaseless
inward question&mdash;<i>why</i> I thus suffered; now, at the distance
of&mdash;I will not say how many years, I see it clearly.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"I was a discord in Gateshead Hall: I was like nobody there; I had nothing in
harmony with Mrs. Reed or her children, or her chosen vassalage. If they did
not love me, in fact, as little did I love them. They were not bound to regard
with affection a thing that could not sympathise with one amongst them; a
heterogeneous thing, opposed to them in temperament, in capacity, in
propensities; a useless thing, incapable of serving their interest, or adding
to their pleasure; a noxious thing, cherishing the germs of indignation at
their treatment, of contempt of their judgment. I know that had I been a
sanguine, brilliant, careless, exacting, handsome, romping child&mdash;though
equally dependent and friendless&mdash;Mrs. Reed would have endured my presence
more complacently; her children would have entertained for me more of the
cordiality of fellow-feeling; the servants would have been less prone to make
me the scapegoat of the nursery.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"Daylight began to forsake the red-room; it was past four o&rsquo;clock, and the
beclouded afternoon was tending to drear twilight. I heard the rain still
beating continuously on the staircase window, and the wind howling in the grove
behind the hall; I grew by degrees cold as a stone, and then my courage sank.
My habitual mood of humiliation, self-doubt, forlorn depression, fell damp on
the embers of my decaying ire. All said I was wicked, and perhaps I might be
so; what thought had I been but just conceiving of starving myself to death?
That certainly was a crime: and was I fit to die? Or was the vault under
the chancel of Gateshead Church an inviting bourne? In such vault I had been
told did Mr. Reed lie buried; and led by this thought to recall his idea, I
dwelt on it with gathering dread. I could not remember him; but I knew that he
was my own uncle&mdash;my mother&rsquo;s brother&mdash;that he had taken me
when a parentless infant to his house; and that in his last moments he had
required a promise of Mrs. Reed that she would rear and maintain me as one of
her own children. Mrs. Reed probably considered she had kept this promise; and
so she had, I dare say, as well as her nature would permit her; but how could
she really like an interloper not of her race, and unconnected with her, after
her husband&rsquo;s death, by any tie? It must have been most irksome to find
herself bound by a hard-wrung pledge to stand in the stead of a parent to a
strange child she could not love, and to see an uncongenial alien permanently
intruded on her own family group.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"A singular notion dawned upon me. I doubted not&mdash;never doubted&mdash;that
if Mr. Reed had been alive he would have treated me kindly; and now, as I sat
looking at the white bed and overshadowed walls&mdash;occasionally also turning
a fascinated eye towards the dimly gleaming mirror&mdash;I began to recall what
I had heard of dead men, troubled in their graves by the violation of their
last wishes, revisiting the earth to punish the perjured and avenge the
oppressed; and I thought Mr. Reed&rsquo;s spirit, harassed by the wrongs of his
sister&rsquo;s child, might quit its abode&mdash;whether in the church vault or
in the unknown world of the departed&mdash;and rise before me in this chamber.
I wiped my tears and hushed my sobs, fearful lest any sign of violent grief
might waken a preternatural voice to comfort me, or elicit from the gloom some
haloed face, bending over me with strange pity. This idea, consolatory in
theory, I felt would be terrible if realised: with all my might I endeavoured
to stifle it&mdash;I endeavoured to be firm. Shaking my hair from my eyes, I
lifted my head and tried to look boldly round the dark room; at this moment a
light gleamed on the wall. Was it, I asked myself, a ray from the moon
penetrating some aperture in the blind? No; moonlight was still, and this
stirred; while I gazed, it glided up to the ceiling and quivered over my head.
I can now conjecture readily that this streak of light was, in all likelihood,
a gleam from a lantern carried by some one across the lawn: but then, prepared
as my mind was for horror, shaken as my nerves were by agitation, I thought the
swift darting beam was a herald of some coming vision from another world. My
heart beat thick, my head grew hot; a sound filled my ears, which I deemed the
rushing of wings; something seemed near me; I was oppressed, suffocated:
endurance broke down; I rushed to the door and shook the lock in desperate
effort. Steps came running along the outer passage; the key turned, Bessie and
Abbot entered.",0.0,1.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Miss Eyre, are you ill?&rdquo; said Bessie.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,&ldquo;What a dreadful noise! it went quite through me!&rdquo; exclaimed Abbot.,0.0,0.0
Jane Eyre,Charlotte Bronte,II,&ldquo;Take me out! Let me go into the nursery!&rdquo; was my cry.,0.0,1.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;What for? Are you hurt? Have you seen something?&rdquo; again demanded
Bessie.",0.0,0.0
Jane Eyre,Charlotte Bronte,II,"&ldquo;Oh! I saw a light, and I thought a ghost would come.&rdquo; I had
now got hold of Bessie&rsquo;s hand, and she did not snatch it from me.",0.0,0.0
